date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:50	58355/58355	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2011:10:29%20GMT	https://grupoplaytvstreaming.com.br/wp-content/uploads/elementor/css/post-187.css?ver=1683976229	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/uploads/elementor/css/post-1877f67.css	(from https://grupoplaytvstreaming.com.br/)
19:25:50	95452/95452	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2017:33:40%20GMT	https://grupoplaytvstreaming.com.br/wp-content/themes/blocksy/static/bundle/main.min.css?ver=1.8.78	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/themes/blocksy/static/bundle/main.minf552.css	(from https://grupoplaytvstreaming.com.br/)
19:25:50	1361/1361	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2017:33:40%20GMT	https://grupoplaytvstreaming.com.br/wp-content/themes/blocksy/static/bundle/page-title.min.css?ver=1.8.78	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/themes/blocksy/static/bundle/page-title.minf552.css	(from https://grupoplaytvstreaming.com.br/)
19:25:51	1101/1101	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2017:33:41%20GMT	https://grupoplaytvstreaming.com.br/wp-content/themes/blocksy/static/bundle/back-to-top.min.css?ver=1.8.78	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/themes/blocksy/static/bundle/back-to-top.minf552.css	(from https://grupoplaytvstreaming.com.br/)
19:25:51	1854/1854	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2017:33:41%20GMT	https://grupoplaytvstreaming.com.br/wp-content/themes/blocksy/static/bundle/elementor-frontend.min.css?ver=1.8.78	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/themes/blocksy/static/bundle/elementor-frontend.minf552.css	(from https://grupoplaytvstreaming.com.br/)
19:25:52	57912/57912	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2011:07:51%20GMT	https://grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://grupoplaytvstreaming.com.br/)
19:25:52	669/669	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2011:07:51%20GMT	https://grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://grupoplaytvstreaming.com.br/)
19:25:53	677/677	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2011:07:51%20GMT	https://grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://grupoplaytvstreaming.com.br/)
19:25:53	194940/194940	---MCZ	200	added ('OK')	application/json	date:Tue,%2008%20Aug%202023%2022:24:52%20GMT	https://grupoplaytvstreaming.com.br/index.php?rest_route=/	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/index52f0.json	(from https://grupoplaytvstreaming.com.br/)
19:25:54	77749/77749	---MCZ	200	added ('OK')	application/json	date:Tue,%2008%20Aug%202023%2022:24:53%20GMT	https://grupoplaytvstreaming.com.br/index.php?rest_route=/wp/v2/pages/187	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/indexad14.json	(from https://grupoplaytvstreaming.com.br/)
